Queries:
Query:
Country of Operator/Owner	Current Official Name of Satellite	
Multinational	Eutelsat 113 West A	
Multinational	Eutelsat 117 West A	
Multinational	Eutelsat 117 West B	
Mexico	Mexsat-3	
Mexico	Mexsat-3	
Mexico	Painani-1	
Total Rows: 6
Query:
Current Official Name of Satellite	Class of Orbit	Launch Mass (kg.)	
Amsat-Oscar 7	LEO	29	
ANASIS-II	GEO		
ANDESITE Mule	LEO	9	
ANGELS	LEO	18	
Anik F1	GEO	"4,710"	
Anik F1R	GEO	"4,500"	
Anik F2	GEO	"5,910"	
Anik F3	GEO	"4,715"	
Anik G1	GEO	"4,905"	
AprizeSat 1	LEO	12	
AprizeSat 10	LEO	12	
AprizeSat 2	LEO	12	
AprizeSat 3	LEO	12	
AprizeSat 4	LEO	12	
AprizeSat 5	LEO	12	
AprizeSat 7	LEO	12	
AprizeSat 8	LEO	12	
AprizeSat 9	LEO	12	
Apstar 6C	GEO		
Apstar 6D	GEO	"5,550"	
Apstar 7	GEO	"5,054"	
Apstar 9	GEO	"5,200"	
Arabsat 5C	GEO	"4,630"	
Arabsat 6A	GEO	"6,465"	
ARCE 1A	LEO	1	
ARCE 1B	LEO	1	
ARCE 1C	LEO	1	
ARCSAT	LEO	10	
ARICA	LEO	1	
Arktika-M1	Elliptical	"2,200"	
Arkyd-6A	LEO	10	
ARMADILLO	Elliptical	4	
ArSat 1	GEO	"3,000"	
ArSat 2	GEO	"2,977"	
Arthur	LEO	20	
ASELSAT	LEO	5	
AsiaSat-5	GEO	"3,760"	
AsiaSat-6	GEO	"3,700"	
AsiaSat-7	GEO	"3,813"	
AsiaSat-8	GEO	"4,500"	
AsiaSat-9	GEO	"6,140"	
AsiaStar	GEO	"2,775"	
ASNARO-1	LEO	500	
ASNARO-2	LEO	570	
ASTERISC	LEO	4	
Astra 1G	GEO	"3,379"	
Astra 1KR	GEO	"4,332"	
Astra 1L	GEO	"4,500"	
Astra 1M	GEO	"5,345"	
Astra 1N	GEO	"5,350"	
Astra 2A	GEO	"3,635"	
Astra 2C	GEO	"3,643"	
Astra 2D	GEO	"1,420"	
Astra 2E	GEO	"6,052"	
Astra 2F	GEO	"6,000"	
Astra 2G	GEO	"6,000"	
Astra 3A	GEO	"1,500"	
Astra 3B	GEO	"5,471"	
Astra 5B	GEO	"5,724"	
Astranis Demosat-2	LEO		
Astrocast-0101 	LEO	4	
Astrocast-0102 	LEO	4	
Astrocast-0103 	LEO	4	
Astrocast-0104 	LEO	4	
Astrocast-0105 	LEO	4	
Astrocast-0201 	LEO	4	
Astrocast-0202   	LEO	4	
Astrocast-0203	LEO	4	
Astrocast-0204 	LEO	4	
Astrocast-0205 	LEO	4	
Astrosat	LEO	230	
AT&T T16	GEO	"6,350"	
Athena	LEO	138	
Athena-Fidus	GEO	"3,080"	
Athenoxat-1	LEO	6	
Azerspace 1/Africasat-1a	GEO	"3,250"	
Azerspace 2/Intelsat-38	GEO	"3,500"	
Badr 4	GEO	"3,304"	
Badr 5	GEO	"5,420"	
Badr 5A	GEO	"4,940"	
Badr 6	GEO	"3,400"	
Badr 7	GEO	"5,500"	
Bangabandhu 1	GEO	"3,500"	
Baoyun	LEO	20	
Cosmos 2503	LEO	"4,000"	
Cosmos 2515	LEO	"4,000"	
BDSAGR-1	LEO	40	
BDSAT	LEO	1	
Beesat-5	LEO	1	
Beesat-6	LEO	1	
Beesat-7	LEO	1	
Beesat-8	LEO	1	
Beesat-9	LEO	1	
Beidou 2-12	MEO	"2,200"	
Beidou 2-13	MEO	"2,200"	
Beidou 2-15	MEO	"3,800"	
Beidou 2-16	GEO	"3,800"	
Beidou 2-17	GEO	"4,200"	
Beidou 2-18	GEO	"3,800"	
Beidou 3I-1S	GEO	"4,200"	
Beidou 3I-2S	GEO	"4,200"	
Beidou 3-M1	MEO	800	
Beidou 3-23	MEO	800	
Beidou 3-24	MEO	800	
Beidou 3-25	MEO	800	
Beidou 3M-1S	MEO	800	
Beidou 3M-2S	MEO	800	
Beidou DW 26	MEO	800	
Beidou DW 27	MEO	800	
Beidou DW 28	MEO	800	
Beidou DW 29	MEO	800	
Beidou DW 30	MEO	800	
Beidou DW 31	MEO	800	
Beidou DW 32	GEO	800	
Beidou DW 33	MEO	800	
Beidou DW 34	MEO	800	
Beidou DW 35	MEO	800	
Beidou DW 36	MEO	800	
Beidou DW 37	MEO	800	
Beidou DW 38	MEO	800	
Beidou DW 39	MEO	800	
Beidou DW 40	MEO	800	
Beidou DW 41	GEO	800	
Beidou DW 42	MEO	800	
Beidou DW 43	MEO	800	
Beidou DW 44	GEO	800	
Beidou DW 45	GEO	800	
Beidou DW 46	GEO	800	
Beidou 3 IGSO-3	GEO	"4,200"	
Beidou DW 50	MEO	800	
Beidou DW 51	MEO	800	
Beidou DW 52	MEO	800	
Beidou DW 53	MEO	800	
Beidou DW 55	GEO	800	
Beidou G3	GEO	"2,200"	
Beidou G4	GEO	"6,000"	
Beidou G5	GEO	"2,300"	
Beidou IGSO-1	GEO	"4,200"	
Beidou IGSO-2	GEO	"4,200"	
Beidou IGSO-3	GEO	"4,200"	
Beidou IGSO-4	GEO	"4,200"	
Beidou IGSO-5	GEO	"4,200"	
Beijing-3	LEO		
BeijinGalaxy-1	LEO	166	
Belintersat-1	GEO	"5,223"	
Bispectral InfraRed Detector 2 (Bird 2)	LEO	92	
BIROS	LEO	130	
BisonSat	LEO	1	
BKA 2	LEO	400	
BlackSky Global 1	LEO	56	
BlackSky Global 14	LEO	55	
BlackSky Global 15	LEO	55	
BlackSky Global 16	LEO	55	
BlackSky Global 17	LEO	55	
BlackSky Global 18	LEO	55	
BlackSky Global 2	LEO	55	
BlackSky Global 20	LEO	55	
BlackSky Global 3	LEO	56	
BlackSky Global 4	LEO	56	
BlackSky Global 7	LEO	56	
BlackSky Global 8	LEO	56	
BlackSky Global 9	LEO	56	
BlackSky Pathfinder 1	LEO	44	
Cosmos 2520	GEO	"3,000"	
Cosmos 2526	GEO	"3,000"	
Cosmos 2533	GEO	"3,000"	
Cosmos 2539	GEO	"3,000"	
Bluewalker 1	LEO	10	
Brazilsat B-4	GEO	"2,495"	
Brik-II	LEO	10	
BRIO	LEO	4	
BRISat	GEO	"3,540"	
BRITE-CA-1	LEO	10	
BRITE-PL-2	LEO	10	
BRO-1	LEO	8	
BRO-4	LEO	8	
BRO-7	LEO	10	
BSAT-3A	GEO	"1,980"	
BSAT-3B	GEO	"2,060"	
BSAT-3C/JCSat 110-R	GEO	"2,910"	
BSAT-4A	GEO	"3,520"	
BSAT-4B	GEO	"3,520"	
Buccaneer RMM	LEO	4	
Bufeng-1A	LEO		
Bufeng-1B	LEO		
Bugsat-1	LEO	25	
BulgariaSat-1	GEO	"3,669"	
CACTUS-1	LEO	4	
Calipso	LEO	587	
CanX-2	LEO	7	
CanX-4	LEO	15	
CanX-5	LEO	15	
CanX-7	LEO	15	
CAPE-3	LEO	1	
Capella-1	LEO	37	
Capella-2	LEO	107	
Capella-3	LEO	107	
Capella-4	LEO	107	
Capella-5	LEO	107	
Capella-6	LEO	100	
Capella-7	LEO	112	
Capella-8	LEO	112	
CartoSat 1	LEO	"1,560"	
CartoSat 2	LEO	680	
CartoSat 2A	LEO	680	
CartoSat 2B	LEO	694	
CartoSat 2C	LEO	727	
CartoSat 2D	LEO	714	
CartoSat 2E	LEO	712	
CartoSat 2F	LEO	712	
CartoSat 3	LEO	"1,625"	
CAS500-1	LEO	500	
Cassiope	LEO	490	
USA 283	GEO		
CBERS 4	LEO	"1,980"	
CBERS 4A	LEO	"1,980"	
CBNT-1	LEO	91	
CBNT-2	LEO		
CELTEE-1	LEO	3	
Centauri-1	LEO	4	
Centauri-2	LEO	4	
Centispace-1-S1	LEO	100	
CeReS	LEO	4	
CERES	LEO	400	
CERES	LEO	400	
CERES	LEO	400	
CE-SAT-1	LEO	3	
CE-SAT-2B	LEO	36	
Cesium Satellite 1	LEO	10	
Cesium Satellite 2	LEO	10	
CFESat	LEO	159	
CFOSat	LEO	700	
Challenge One	LEO	3	
Chandra X-Ray Observatory (CXO)	Elliptical	"4,742"	
Changshagaoxin 	LEO	8	
Chao Fenbianlu	LEO	50	
Chaohu-1	LEO	325	
CHASE	LEO	500	
Chefsat-2	LEO		
CHEOPS	LEO	273	
CHOMPTT	LEO	4	
Chuangxin 1-1	LEO	100	
Chuangxin 1-2	LEO	101	
Chuangxin 1-3	LEO	100	
Chuangxin 1-4	LEO	100	
Chuangxin-3	LEO	200	
Cicero-10	LEO	10	
Cicero-2	LEO	10	
Cicero-3	LEO	10	
Cicero-6	LEO	10	
Cicero-7	LEO	10	
Cicero-8	LEO	10	
Ciel-2	GEO	"5,585"	
CINEMA-1	LEO	3	
CiRiS	LEO	9	
USA 257	GEO		
Cloudsat	LEO	848	
CMS-1	GEO	"1,500"	
CNCE-1	LEO	5	
CNCE-3	LEO	5	
Compass-2	LEO	5	
COMS-1	GEO	"2,460"	
COMSATBw-1	GEO	"2,440"	
COMSATBw-2	GEO	"2,440"	
Condor E2	LEO		
Coriolis	LEO	817	
CORVUS BC1	LEO	10	
CORVUS BC2	LEO	10	
CORVUS BC3	LEO	10	
CORVUS BC4	LEO	10	
CORVUS BC5	LEO	10	
COSMIC 2-1	LEO	280	
COSMIC 2-2	LEO	280	
COSMIC 2-3	LEO	280	
COSMIC 2-4	LEO	280	
COSMIC 2-5	LEO	280	
COSMIC 2-6	LEO	280	
COSMIC-A	LEO	70	
COSMIC-B	LEO	70	
COSMIC-D	LEO	70	
COSMIC-E	LEO	70	
COSMIC-F	LEO	70	
Cosmos 2504	LEO		
Cosmos 2535	LEO		
Cosmos 2536	LEO		
Cosmos 2542	LEO		
Cosmos 2543	LEO		
Cosmos 2537	LEO		
Cosmos 2538	LEO		
COSMO-Skymed 1	LEO	"1,700"	
COSMO-Skymed 2	LEO	"1,700"	
COSMO-Skymed 3	LEO	"1,700"	
COSMO-Skymed 4	LEO	"1,700"	
COSMO-Skymed FM2	LEO	"1,800"	
CP-10	LEO	4	
Cryosat-2	LEO	720	
CSG-1	LEO	"2,205"	
CSIM-FD	LEO	6	
CSO-1	LEO	"3,565"	
CSO-2	LEO	"3,565"	
Cubebug 2	LEO	2	
Cubesail USAT	LEO	3	
Cubesat XI-IV 	LEO		
CuPID	LEO	10	
CUTE	LEO	10	
CYGNSS-A	LEO	29	
CYGNSS-B	LEO	29	
CYGNSS-C	LEO	29	
CYNGSS-D	LEO	29	
CYGNSS-E	LEO	29	
CYGNSS-F	LEO	29	
CYGNSS-G	LEO	29	
CYGNSS-H	LEO	29	
D2/AtlaCom-1 	LEO	9	
Daichi-2	LEO	"2,120"	
DAMPE	LEO	"1,850"	
DaVinci	LEO	4	
Dayun	LEO	20	
DCBB	LEO	3	
Deimos 1	LEO	90	
Deimos 2	LEO	310	
Dekart	LEO	5	
Delfi-C3	LEO	7	
DeMi	LEO	9	
DhabiSat-1	LEO	4	
DHFR	LEO	8	
Diamond Blue	LEO	6	
Diamond Green	LEO	6	
Diamond Red	LEO	6	
Dido-2	LEO	10	
Dido-3	LEO	6	
DirecTV-10	GEO	"5,900"	
DirecTV-11	GEO	"5,900"	
DirecTV-12	GEO	"5,900"	
DirecTV-14	GEO	"5,900"	
DirecTV-15	GEO	"5,500"	
DirecTV-5	GEO	"4,300"	
DirecTV-8	GEO	"3,800"	
DirecTV-9S	GEO	"5,500"	
Diwata-2B	LEO	56	
DLR Tubsat	LEO	45	
DMC 3-1	LEO	447	
DMC 3-2	LEO	447	
DMC 3-3	LEO	447	
DMSat-1	LEO	15	
USA 131	LEO	"1,134"	
USA 147	LEO	"1,152"	
USA 172	LEO	"1,154"	
USA 173	LEO	"1,154"	
USA 210	LEO	"1,155"	
Dodona	LEO	5	
DoT-1	LEO	18	
Dove 2k-10	LEO	3	
Dove 2k-12	LEO	3	
Dove 2k-15	LEO	3	
Dove 2k-18	LEO	3	
Dove 2k-19	LEO	3	
Dove  2k-29	LEO	3	
Dove 2k-30	LEO	3	
Dove 2k-32	LEO	3	
Dove 2k-35	LEO	3	
Dove 2k-39	LEO	3	
Dove 2k-40	LEO	3	
Dove 2k-7	LEO	3	
Dove 2p-3	LEO	3	
Dove 2p-8	LEO	3	
Dove 2p-9	LEO	3	
Dove 3k-10	LEO	4	
Dove 3k-4	LEO	4	
Dove 3k-5	LEO	4	
Dove 3k-7	LEO	4	
Dove 3k-9	LEO	4	
Dove 3m-4	LEO	4	
Dove 3p-11	LEO	4	
Dove  3p-12	LEO	4	
Dove 3p-2	LEO	4	
Dove 3p'-2	LEO	4	
Dove  3p-23	LEO	4	
Dove  3p-24	LEO	4	
Dove 3p-37	LEO	4	
Dove 3p'-3	LEO	4	
Dove 3p-32	LEO	4	
Dove 3p-33	LEO	4	
Dove 3p-34	LEO	4	
Dove 3p-4	LEO	4	
Dove 3p'-4	LEO	4	
Dove 3p-46	LEO	4	
Dove 3p-49	LEO	4	
Dove 3p-50	LEO	4	
Dove 3p-54	LEO	4	
Dove 3p-55	LEO	4	
Dove 3p-57	LEO	4	
Dove 3p-58	LEO	4	
Dove 3p-61	LEO	4	
Dove 3p-64	LEO	4	
Dove 3p-65	LEO	4	
Dove 3p-66	LEO	4	
Dove 3p-74	LEO	4	
Dove 3p-76	LEO	4	
Dove 3p-80	LEO	4	
Dove 3r-1	LEO	4	
Dove 3r-11	LEO	4	
Dove 3r-12	LEO	4	
Dove 3r-4	LEO	4	
Dove 3r-7	LEO	4	
Dove 3r-7	LEO	4	
Dove 3r-9	LEO	4	
Dove 3s-1	LEO	4	
Dove 4a-11	LEO	4	
Dove 4a-17	LEO	4	
Dove 4a-19	LEO	4	
Dove 4a-2	LEO	4	
Dove 4a-5	LEO	4	
Dove 4a-6	LEO	4	
Dove 4a-9	LEO	4	
Dove 4e'-1	LEO	4	
Dove 4e’-2	LEO	4	
Dove 4e’-3 	LEO	4	
Dove 4e’-4 	LEO	4	
Dove 4e’-5 	LEO	4	
Dove 4e’-6 	LEO	4	
Dove 4e'-8	LEO	4	
Dove 4e’-8	LEO	4	
Dove 4e’-9 	LEO	4	
Dove 4p-1	LEO	4	
Dove 4p-10	LEO	4	
Dove 4p-11	LEO	4	
Dove 4p-3	LEO	4	
Dove 4p-4	LEO	4	
Dove 4p-5	LEO	4	
Dove 4p-7	LEO	4	
Dove 4s-1 	LEO	4	
Dove 4s-10 	LEO	4	
Dove 4s-11 	LEO	4	
Dove 4s-12 	LEO	4	
Dove 4s-13 	LEO	4	
Dove 4s-14 	LEO	4	
Dove 4s-15 	LEO	4	
Dove 4s-16 	LEO	4	
Dove 4s-17 	LEO	4	
Dove 4s-18 	LEO	4	
Dove 4s-19 	LEO	4	
Dove 4s-2 	LEO	4	
Dove 4s-20 	LEO	4	
Dove 4s-21 	LEO	4	
Dove 4s-22 	LEO	4	
Dove 4s-23 	LEO	4	
Dove 4s-24 	LEO	4	
Dove 4s-25 	LEO	4	
Dove 4s-26 	LEO	4	
Dove 4s-27 	LEO	4	
Dove 4s-28 	LEO	4	
Dove 4s-29 	LEO	4	
Dove 4s-3 	LEO	4	
Dove 4s-30 	LEO	4	
Dove 4s-31 	LEO	4	
Dove 4s-32 	LEO	4	
Dove 4s-33 	LEO	4	
Dove 4s-34 	LEO	4	
Dove 4s-35 	LEO	4	
Dove 4s-36 	LEO	4	
Dove 4s-37 	LEO	4	
Dove 4s-39 	LEO	4	
Dove 4s-4 	LEO	4	
Dove 4s-40 	LEO	4	
Dove 4s-41 	LEO	4	
Dove 4s-42 	LEO	4	
Dove 4s-43 	LEO	4	
Dove 4s-44 	LEO	4	
Dove 4s-45 	LEO	4	
Dove 4s-46 	LEO	4	
Dove 4s-47 	LEO	4	
Dove 4s-48 	LEO	4	
Dove 4s-5 	LEO	4	
Dove 4s-6 	LEO	4	
Dove 4s-7 	LEO	4	
Dove 4s-8 	LEO	4	
Dove 4s-9 	LEO	4	
Dove 4v-1	LEO	4	
Dove 4v-10	LEO	4	
Dove 4v-11	LEO	4	
Dove 4v-12	LEO	4	
Dove 4v-13	LEO	4	
Dove 4v-14	LEO	4	
Dove 4v-15	LEO	4	
Dove 4v-16	LEO	4	
Dove 4v-17	LEO	4	
Dove 4v-18	LEO	4	
Dove 4v-19	LEO	4	
Dove 4v-2	LEO	4	
Dove 4v-20	LEO	4	
Dove 4v-22	LEO	4	
Dove 4v-23	LEO	4	
Dove 4v-24	LEO	4	
Dove 4v-25	LEO	4	
Dove 4v-26	LEO	4	
Dove 4v-4	LEO	4	
Dove 4v-5	LEO	4	
Dove 4v-6	LEO	4	
Dove 4v-7	LEO	4	
Dove 4v-8	LEO	4	
Dove 4v-9	LEO	4	
Dove 4x-1	LEO	6	
Dove 4x-10	LEO	6	
Dove 4x-11	LEO	6	
Dove 4x-12	LEO	6	
Dove 4x-13	LEO	6	
Dove 4x-14	LEO	6	
Dove 4x-15	LEO	6	
Dove 4x-16	LEO	6	
Dove 4x-17	LEO	6	
Dove 4x-18	LEO	6	
Dove 4x-19	LEO	6	
Dove 4x-2	LEO	6	
Dove 4x-20	LEO	6	
Dove 4x-21	LEO	6	
Dove 4x-22	LEO	6	
Dove 4x-23	LEO	6	
Dove 4x-24	LEO	6	
Dove 4x-25	LEO	6	
Dove 4x-26	LEO	6	
Dove 4x-27	LEO	6	
Dove 4x-28	LEO	6	
Dove 4x-29	LEO	6	
Dove 4x-3	LEO	6	
Dove 4x-30	LEO	6	
Dove 4x-31	LEO	6	
Dove 4x-32	LEO	6	
Dove 4x-33	LEO	6	
Dove 4x-34	LEO	6	
Dove 4x-35	LEO	6	
Dove 4x-36	LEO	6	
Dove 4x-37	LEO	6	
Dove 4x-38	LEO	6	
Dove 4x-39	LEO	6	
Dove 4x-4	LEO	6	
Dove 4x-40	LEO	6	
Dove 4x-41	LEO	6	
Dove 4x-42	LEO	6	
Dove 4x-43	LEO	6	
Dove 4x-44	LEO	6	
Dove 4x-5	LEO	6	
Dove 4x-6	LEO	6	
Dove 4x-7	LEO	6	
Dove 4x-8 	LEO	6	
Dove 4x-9	LEO	6	
DQ-1	LEO	"2,600"	
DRUMS	LEO	62	
USA 167	GEO	"1,156"	
USA 170	GEO	"1,156"	
USA 135	GEO	"1,156"	
USA 148	GEO	"1,156"	
USA 153	GEO	"1,156"	
USA 113	GEO	"1,156"	
USA 149	GEO	"2,380"	
USA 159	GEO	"2,380"	
USA 176	GEO	"2,380"	
D-Star ONE Sparrow	LEO	4	
DSX	MEO	600	
DubaiSat-2	LEO	300	
Duogongneng Shiyan Weixing 	LEO		
Eagle-1	GEO	"2,845"	
Eaglet-1	LEO	4	
Echostar 10	GEO	"4,333"	
Echostar 11	GEO	"5,500"	
Echostar 14	GEO	"6,384"	
Echostar 15	GEO	"5,521"	
Echostar 16	GEO	"6,658"	
Echostar 17	GEO	"6,100"	
Echostar 18	GEO	"6,300"	
Echostar 19	GEO	"6,764"	
Echostar 21	GEO	"6,900"	
Echostar 23	GEO	"5,600"	
Echostar 7 	GEO	"4,027"	
Echostar 9/Galaxy 23	GEO	"4,000"	
Echostar G1	GEO	"6,600"	
Ecuador-UTE	LEO	4	
EDRS-C	GEO	"3,186"	
EgyptSat-A	LEO	"2,200"	
Cosmos 2510	Elliptical		
Cosmos 2518	Elliptical		
Cosmos 2541	Elliptical		
Cosmos 2546	Elliptical		
Cosmos 2552	Elliptical	"2,000"	
El Camino Real	LEO	20	
Electro-L1	GEO	"1,766"	
Electro-L2	GEO	"1,800"	
Electro-L3	GEO	"2,094"	
ELFIN-A	LEO	4	
ELFIN-Star	LEO	4	
ELISA-E12	LEO	120	
ELISA-E24	LEO	120	
ELISA-W11	LEO	120	
ELISA-W23	LEO	120	
ELSA-d	LEO	175	
EMISat	LEO	436	
Cosmos 2555	LEO	520	
EnMAP	LEO	980	
EOS-1	LEO	630	
EOS-1	LEO	"1,710"	
Terra	LEO	"4,854"	
Aura	LEO	"2,967"	
Aqua	LEO	"2,934"	
Cosmos 2548	LEO	3	
ERG	Elliptical	350	
EROS B-1	LEO	350	
ESAIL	LEO	112	
ESEO	LEO	45	
Es'hail-1	GEO		
Es'hail-2	GEO	"5,300"	
USA 286	GEO		
ETRSS-1	LEO	70	
ET-SMART-RSS	LEO	9	
Eu:CROPIS	LEO	230	
Eutelsat 10A	GEO	"5,900"	
Eutelsat 113 West A	GEO	"5,456"	
Eutensat 115 West B	GEO		
Eutelsat 117 West A	GEO	"5,474"	
Eutelsat 117 West B	GEO	"5,500"	
Eutelsat 133 West A	GEO	"2,950"	
Eutelsat 7A	GEO	"4,300"	
Eutelsat 16A	GEO	"5,400"	
Eutelsat 172B	GEO	"3,600"	
Eutelsat 174A	GEO	"5,000"	
Eutelsat 21B	GEO	"5,102"	
Eutelsat 33E	GEO	"4,892"	
Eutelsat 36A	GEO	"3,190"	
Eutelsat 36B	GEO	"5,600"	
Eutelsat 3B	GEO	"5,967"	
Eutelsat 5 West A	GEO	"4,050"	
Eutelsat 5 West B	GEO	"2,864"	
Eutelsat 65 West A	GEO	"6,654"	
Eutelsat 7 West A	GEO	"4,600"	
Eutelsat 70B	GEO	"5,250"	
Eutelsat 7B	GEO	"5,404"	
Eutelsat 7C	GEO	"3,400"	
Eutelsat 8 West B	GEO	"5,800"	
Eutelsat 9B	GEO	"5,200"	
Eutelsat Hot Bird 13B	GEO	"4,900"	
Eutelsat Hot Bird 13C	GEO	"4,880"	
Eutelsat Hot Bird 13E	GEO	"4,100"	
Eutelsat KA-SAT 9A	GEO	"6,150"	
Eutelsat Konnect	GEO	"3,618"	
Eutelsat Quantum	GEO	"3,461"	
exactView 6	LEO	12	
exactView 9	LEO	6	
eXCITE	LEO	155	
ExoCube-2	LEO	4	
Express-103	GEO	"2,150"	
Express-80	GEO	"2,150"	
Express-AM3	GEO	"2,600"	
Express-AM33	GEO	"2,600"	
Express-AM44	GEO	"2,532"	
Express-AM5	GEO	"3,400"	
Express-AM6	GEO	"3,358"	
Express-AM7	GEO	"5,720"	
Express-AM8	GEO	"2,100"	
Express-AMU1	GEO	"2,700"	
Express-AMU3	GEO	"2,150"	
Express-AMU7	GEO	"1,980"	
Express-AT1	GEO	"1,726"	
Express-AT2	GEO	"1,427"	
ExSeedSat-1	LEO	4	
Eyesat	LEO	5	
FACSAT-1	LEO	5	
FalconEye-2	LEO	"1,180"	
Falconsat-3	LEO	46	
Falconsat-6	LEO	181	
Falconsat-7	Elliptical	5	
USA 300	LEO	136	
Faraday Phoenix	LEO	10	
USA 222	LEO	55	
Fengmaniu-1	LEO	3	
Fengniao 1A	LEO	160	
Fengyun 2F	GEO	"1,390"	
Fengyun 2G	GEO	"1,390"	
Fengyun 4H	GEO	"1,380"	
Fengyun 3B	LEO	"2,300"	
Fengyun 3C	LEO	"2,300"	
Fengyun 3D	LEO	"2,300"	
Fengyun 3E	LEO	"2,450"	
Fengyun 4A	GEO	"5,300"	
Fengyun 4B	GEO	"5,300"	
Fermi Gamma-Ray Space Telescope	LEO	"4,303"	
USA 215	LEO		
USA 234	LEO		
USA 247	LEO		
USA 267	LEO		
USA 281	LEO		
Firebird-C	LEO	2	
Firebird-D	LEO	2	
FLP	LEO	120	
USA 46	GEO	"2,310"	
FormoSat-5	LEO	525	
FORTÉ 	LEO	215	
Foshan 1	LEO	70	
FossaSat-2E2	LEO	1	
FossaSat-2E1	LEO	1	
FossaSat-2E3	LEO	1	
FossaSat-2E4	LEO	1	
FossaSat-2E5	LEO	1	
FossaSat-2E6	LEO	1	
Fox-1Cliff	LEO	2	
FSSCAT-A	LEO	10	
FSSCAT-B	LEO	10	
FUNCube-1 (AO-73)	LEO	1	
Galaxy-11	GEO	"4,488"	
Galaxy-12	GEO	"1,760"	
Galaxy-13	GEO	"4,060"	
Galaxy-14	GEO	"2,086"	
Galaxy-15	GEO	"2,033"	
Galaxy-16	GEO	"4,640"	
Galaxy-17	GEO	"4,100"	
Galaxy-18	GEO	"4,642"	
Galaxy-19	GEO	"4,690"	
Galaxy-25	GEO	"3,515"	
Galaxy-28	GEO	"5,493"	
Galaxy-30	GEO	"3,298"	
Galaxy-3C	GEO	"4,860"	
Galileo FOC FM1	Elliptical	733	
Galileo FOC FM10	MEO	723	
Galileo FOC FM11	MEO	723	
Galileo FOC FM12	MEO	723	
Galileo FOC FM13	MEO	723	
Galileo FOC FM14	MEO	723	
Galileo FOC FM15	MEO	715	
Galileo FOC FM16	MEO	715	
Galileo FOC FM17	MEO	715	
Galileo FOC FM18	MEO	715	
Galileo FOC FM19	MEO	715	
Galileo FOC FM2	Elliptical	733	
Galileo FOC FM20	MEO	715	
Galileo FOC FM21	MEO	715	
Galileo FOC FM22	MEO	715	
Galileo FOC FM23	MEO	733	
Galileo FOC FM24	MEO	733	
Galileo FOC FM3	MEO	723	
Galileo FOC FM4	MEO	723	
Galileo FOC FM5	MEO	723	
Galileo FOC FM6	MEO	723	
Galileo FOC FM7	MEO	723	
Galileo FOC FM8	MEO	723	
